"filename", "language", "JSON", "C#", "XML", "aspnetcorerazor", "Markdown", "Properties", "JavaScript", "CSS", "SCSS", "Less", "Ignore", "PowerShell", "comment", "blank", "total"
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\list-group.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 5, 31
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\nav-divider.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 2, 11
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\nav-vertical-align.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 2, 10
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\opacity.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 2, 8
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\pagination.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 2, 25
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\panels.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 4, 25
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\progress-bar.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 3, 11
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\reset-filter.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\reset-text.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 1, 19
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\resize.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 2, 7
